,location_ref,location_code,location_name,admin1_is_unspecified,admin2_is_unspecified,admin1_ref,admin1_code,admin1_name,admin2_ref,admin2_code,admin2_name,resource_hdx_id,gender,age_range,min_age,max_age,disabled_marker,sector_code,population_group,population_status,population,reference_period_start,reference_period_end,sector_name
0,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,EDU,all,INN,400156,2024-01-01 00:00:00,2024-12-31 23:59:59,Education
1,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,EDU,all,TGT,67271,2024-01-01 00:00:00,2024-12-31 23:59:59,Education
2,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,REF,INN,119,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
3,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,REF,TGT,119,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
4,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,IDP,INN,2125,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
5,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,IDP,TGT,2125,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
6,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,all,INN,365671,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
7,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,FSC,all,TGT,365671,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
8,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,HEA,all,INN,487562,2024-01-01 00:00:00,2024-12-31 23:59:59,Health
9,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,HEA,all,TGT,313427,2024-01-01 00:00:00,2024-12-31 23:59:59,Health
10,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,REF,INN,119,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
11,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,REF,TGT,119,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
12,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,IDP,INN,4250,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
13,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,IDP,TGT,2972,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
14,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,all,INN,609452,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
15,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,Intersectoral,all,TGT,365671,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
16,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,NUT,all,INN,243742,2024-01-01 00:00:00,2024-12-31 23:59:59,Nutrition
17,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,NUT,all,TGT,189501,2024-01-01 00:00:00,2024-12-31 23:59:59,Nutrition
18,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,REF,INN,118,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
19,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,REF,TGT,118,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
20,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,IDP,INN,4250,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
21,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,IDP,TGT,2972,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
22,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,all,INN,609452,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
23,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO,all,TGT,194005,2024-01-01 00:00:00,2024-12-31 23:59:59,Protection
24,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-CPN,REF,INN,107,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
25,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-CPN,REF,TGT,91,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
26,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-CPN,IDP,INN,3400,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
27,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-CPN,IDP,TGT,2210,2024-01-01 00:00:00,2024-12-31 23:59:59,Child Protection
